Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1,ManuDavid2910,2966,6083387,India,69,253,202,16,35,FM,3021,3212,Manu,David,121352,2011-11-07,Moški,Asia,7.054713536302145e-10,2011
2,MagnusCarlsen,2941,3889224,Norway,104,313,168,109,36,GM,3356,3184,Magnus,Carlsen,5298732,2010-08-26,Moški,Europe,1.7835027423138165e-07,2010
3,GutovAndrey,2936,26824392,United States,2,143,141,1,1,GM,2514,2312,Andrey,Gutov,543777,2016-02-20,Moški,North America,2.9402166800915e-09,2016
4,SeanWinshand,2884,57549096,Indonesia,70,1177,542,525,110,GM,3050,3102,Sean,Winshand,203925,2019-02-19,Moški,Asia,3.515694987049973e-09,2019
5,Firouzja2003,2844,42022994,France,52,287,121,99,67,GM,3260,3357,Alireza,Firouzja,922380,2018-01-05,Ni znano,Europe,1.4562824022834507e-08,2018
6,LyonBeast,2844,17306408,France,52,364,178,124,62,GM,3243,3174,Maxime,Vachier-Lagrave,536644,2014-05-15,Moški,Europe,1.4562824022834507e-08,2014
7,Hikaru,2839,15448422,United States,2,879,501,273,105,GM,3407,3313,Hikaru,Nakamura,10196816,2014-01-06,Ženska,North America,2.9402166800915e-09,2014
8,lachesisQ,2810,28417564,Russia,116,343,150,119,74,GM,3212,3091,Ian,Nepomniachtchi,458855,2016-05-30,Moški,Asia,6.847986512205766e-09,2016
9,LevonAronian,2808,26897402,United States,2,409,176,143,90,GM,3104,3057,Levon,Aronian,115941,2016-02-23,Moški,North America,2.9402166800915e-09,2016
10,GHANDEEVAM2003,2802,20718020,India,69,345,173,90,82,GM,3170,3207,Arjun,Erigaisi,167654,2015-01-20,Moški,Asia,7.054713536302145e-10,2015
11,FabianoCaruana,2797,11177810,United States,2,589,295,187,107,GM,3136,3203,Fabiano,Caruana,507201,2013-03-17,Moški,North America,2.9402166800915e-09,2013
12,Polish_fighter3000,2790,47485766,Poland,112,208,97,67,44,GM,3139,3156,Jan-Krzysztof,Duda,235694,2018-06-29,Ni znano,Europe,2.6729391639046296e-08,2018
13,nihalsarin,2782,7195919,India,69,401,217,91,93,GM,3178,3098,Nihal,Sarin,662244,2012-04-05,Ženska,Asia,7.054713536302145e-10,2012
14,Wormpaca,2781,6288113,United States,2,44,13,8,23,IM,2730,2826,Daniel,Gurevich,9871,2011-12-10,Moški,North America,2.9402166800915e-09,2011
15,DenLaz,2763,34145346,Belarus,22,386,151,166,69,GM,3250,3238,Denis,Lazavik,83447,2017-03-21,Moški,Europe,1.0977816029367853e-07,2017
16,LOVEVAE,2759,27300798,China,33,223,100,78,45,GM,3142,3108,Wei,Yi,58127,2016-03-18,Ni znano,Asia,7.100860624307666e-10,2016
17,Sibelephant,2752,33903360,Russia,116,198,80,84,34,GM,3071,3202,Vladislav,Artemiev,207306,2017-03-12,Moški,Asia,6.847986512205766e-09,2017
18,lethalspider7,2750,338103933,Norway,104,46,32,8,6,Nima naslova,2737,2944,,,3542,2024-01-10,Ni znano,Europe,1.7835027423138165e-07,2024
19,chesspanda123,2740,21968542,China,33,316,139,124,53,GM,3099,3044,Yu,Yangyi,103962,2015-04-14,Ni znano,Asia,7.100860624307666e-10,2015
20,Berardino,2736,26352834,Brazil,27,363,281,26,56,IM,2659,2503,Diego,Berardino,12183,2016-01-26,Moški,South America,4.7040284123316105e-09,2016
21,ChessWarrior7197,2735,12709942,Uzbekistan,145,513,224,122,167,GM,3140,3057,Nodirbek,Abdusattorov,122235,2013-07-14,Moški,Asia,2.6412420704960713e-08,2013
22,Andreikka,2735,10767030,Russia,116,361,165,110,86,GM,3105,2910,Andrey,Esipenko,93831,2013-02-10,Moški,Asia,6.847986512205766e-09,2013
23,Chasing_Checkmate,2734,284620627,United States,2,64,56,5,3,FM,2826,2784,Corey,Acor,6674,2023-05-11,Moški,North America,2.9402166800915e-09,2023
24,Khvicha_Supatashvili,2729,80552390,Georgia,53,869,633,125,111,IM,2846,2802,Khvicha,Supatashvili,14626,2020-05-26,Ni znano,Asia,2.699419624780672e-07,2020
25,VincentKeymer,2725,43194690,Germany,54,290,132,71,87,GM,3164,2990,Vincent,Keymer,84570,2018-02-10,Moški,Europe,1.1964994255606259e-08,2018
26,Vaathi_Coming,2716,55505950,India,69,99,58,19,22,GM,2973,2994,Aravindh,Chithambaram,24119,2019-01-04,Ni znano,Asia,7.054713536302145e-10,2019
27,Tomoe_nage,2714,201072547,United States,2,28,18,4,6,NM,2428,2360,Nicholas,Bruha,833,2022-10-10,Moški,North America,2.9402166800915e-09,2022
28,rpragchess,2711,28692936,India,69,188,95,48,45,GM,3190,3101,Praggnanandhaa,Rameshbabu,135261,2016-06-18,Ni znano,Asia,7.054713536302145e-10,2016
29,HansOnTwitch,2710,88920388,United States,2,284,132,71,81,GM,3163,3106,Hans,Niemann,265075,2020-08-12,Moški,North America,2.9402166800915e-09,2020
30,AnishGiri,2704,22252178,Netherlands,101,393,162,155,76,GM,3147,3084,Anish,Giri,159113,2015-05-04,Ni znano,Europe,5.530684986950072e-08,2015
31,FairChess_on_YouTube,2704,14498226,Georgia,53,516,223,182,111,GM,3149,3144,Dmitry,Andreikin,275870,2013-11-19,Moški,Asia,2.699419624780672e-07,2013
32,Swiss_Fighter,2700,51123018,Switzerland,133,1056,855,64,137,IM,3005,2914,Gabriel,Gähwiler,11763,2018-10-25,Moški,Europe,1.1028831129184669e-07,2018
33,Annawel,2694,28651376,France,52,271,141,61,69,GM,3045,2953,Jules,Moussard,103090,2016-06-15,Moški,Europe,1.4562824022834507e-08,2016
34,viditchess,2693,8274000,India,69,402,187,132,83,GM,3081,3023,Vidit,Gujrathi,159839,2012-07-21,Ni znano,Asia,7.054713536302145e-10,2012
35,Grischuk,2691,26897358,Russia,116,464,170,190,104,GM,3124,3096,Alexander,Grischuk,161742,2016-02-23,Moški,Asia,6.847986512205766e-09,2016
36,mishanick,2691,17860442,Serbia,231,652,307,194,151,GM,3118,3004,Aleksei,Sarana,163514,2014-06-28,Moški,Europe,1.5225838003478496e-07,2014
37,A-Adly,2690,43349734,Egypt,45,66,39,15,12,GM,2989,2942,Ahmed,Adly,8288,2018-02-14,Moški,Africa,9.322161406512797e-09,2018
38,Aoitsukibluemoon,2690,157440329,Japan,78,193,180,7,6,GM,Ne igra strele,Ne igra metka,Wang,Hao,4553,2021-10-08,Ni znano,Asia,8.106355382619975e-09,2021
39,dual_flurry,2685,65338422,Philippines,111,445,329,40,76,IM,2701,2482,Jerad,Docena,926,2019-09-10,Moški,Asia,8.762429506254623e-09,2019
40,thisonechessstreamer,2682,273638461,Germany,54,350,321,9,20,Nima naslova,2425,2493,,,3940,2023-04-11,Ni znano,Europe,1.1964994255606259e-08,2023
41,GMALMEIDA,2682,23879414,Cuba,37,37,25,8,4,GM,2657,2342,Omar,Almeida Quintana,2049,2015-08-29,Moški,North America,1.0258507200497497e-07,2015
42,wqws,2675,152868735,India,69,972,662,107,203,FM,2944,2934,Kaivalya Sandip,Nagare,6876,2021-08-30,Ni znano,Asia,7.054713536302145e-10,2021
43,MrMatesM,2674,41842210,Czech Republic,40,49,48,1,0,IM,2818,2742,Matyas,Marek,4138,2017-12-30,Ni znano,Europe,9.19381715796127e-08,2017
44,Oleksandr_Bortnyk,2672,28168290,United States,2,568,317,100,151,GM,3077,3230,Oleksandr,Bortnyk,427021,2016-05-13,Moški,North America,2.9402166800915e-09,2016
45,pitterson,2672,11451162,Jamaica,77,39,39,0,0,IM,2197,Ne igra metka,Jomo,Pitterson,1911,2013-04-08,Ni znano,North America,3.5391414892141126e-07,2013
46,Dr-Bassem,2671,15595068,Egypt,45,144,70,26,48,GM,2902,2893,Bassem,Amin,35292,2014-01-15,Moški,Africa,9.322161406512797e-09,2014
47,KNVB,2666,4381685,Canada,3,546,377,44,125,GM,3023,2858,Aman,Hambleton,279821,2010-12-12,Moški,North America,2.4068091325987446e-08,2010
48,ChristopherYoo,2666,14074142,Tuvalu,140,958,591,177,190,GM,3110,3078,Christopher,Woojin Yoo,125439,2013-10-27,Moški,Oceania,9.39584703561026e-05,2013
49,Javokhir_Sindarov05,2659,330779979,Uzbekistan,145,104,43,38,23,GM,3165,3016,Javokhir,Sindarov,13412,2023-12-06,Ni znano,Asia,2.6412420704960713e-08,2023
50,Durarbayli,2657,22451396,Azerbaijan,156,334,159,76,99,GM,3007,2896,Vasif,Durarbayli,37600,2015-05-18,Moški,Asia,9.769224539471428e-08,2015
51,Darkis30,2656,291751491,Poland,112,32,23,0,9,Nima naslova,2509,2588,,,848,2023-06-07,Ni znano,Europe,2.6729391639046296e-08,2023
52,Duhless,2650,10174260,Russia,116,357,137,135,85,GM,3083,3040,Daniil,Dubov,221601,2012-12-26,Moški,Asia,6.847986512205766e-09,2012
53,penguingm1,2648,8344034,United States,2,1090,737,149,204,GM,3052,3225,Andrew,Tang,548267,2012-07-27,Moški,North America,2.9402166800915e-09,2012
54,tptagain,2647,81535436,Spain,163,282,118,88,76,GM,3093,3036,David,Anton Guijarro,20935,2020-06-05,Moški,Europe,2.0277415730152532e-08,2020
55,stuffystuffy,2645,69442476,United States,2,1255,559,143,553,Nima naslova,2642,Ne igra metka,,,2085,2019-12-16,Ni znano,North America,2.9402166800915e-09,2019
56,aquarium76,2645,171567191,Uzbekistan,145,154,62,52,40,GM,3036,2857,Nodirbek,Yakubboev,3859,2022-02-04,Moški,Asia,2.6412420704960713e-08,2022
57,Chess_Rook2024,2644,75498068,United States,2,1952,1107,218,627,Nima naslova,788,1000,,,1064,2020-04-03,Ni znano,North America,2.9402166800915e-09,2020
58,mmgchess,2638,55339328,United States,2,192,137,13,42,Nima naslova,2920,3003,,,5831,2018-12-30,Ni znano,North America,2.9402166800915e-09,2018
59,Rakhmanov_Aleksandr,2638,1377142,International,225,294,154,52,88,GM,2874,2804,Aleksandr,Rakhmanov,60345,2008-05-07,Moški,Ni podatka,Ni znano,2008
60,Squid_Stomper,2637,257957957,Philippines,111,49,30,3,16,Nima naslova,2753,2535,,,645,2023-03-07,Ni znano,Asia,8.762429506254623e-09,2023
61,PositionalPanther,2636,4290354,Germany,54,852,443,105,304,FM,2709,2701,Samuel,Fieberg,3341,2010-11-22,Moški,Europe,1.1964994255606259e-08,2010
62,Karacsonyi_Gellert,2634,13627702,Hungary,67,238,164,27,47,IM,2911,2909,Gellert,Karacsonyi,23725,2013-09-22,Ni znano,Europe,1.0482727505062633e-07,2013
63,MightyGMpretender,2632,70328076,Poland,112,144,114,14,16,NM,2784,2817,Antoni,Kozak,11120,2020-01-05,Moški,Europe,2.6729391639046296e-08,2020
64,RodokininEV,2631,323695943,Mexico,95,22,22,0,0,NM,2501,2334,Rodrigo,Espinoza Villanueva,1253,2023-11-03,Moški,North America,7.667703565107974e-09,2023
65,hamelekh,2630,58985560,Israel,75,554,322,98,134,IM,2775,2618,eyal,deutsch,4841,2019-03-25,Ni znano,Asia,9.895307645114687e-08,2019
66,tactic,2627,43499854,International,225,2041,1189,133,719,NM,2793,3035,Kent,Slate,32823,2018-02-19,Moški,Ni podatka,Ni znano,2018
67,Reader777,2627,23579934,Iceland,68,250,130,57,63,IM,3019,2941,Read,Samadov,10208,2015-08-08,Ni znano,Europe,2.5522574717337483e-06,2015
68,NicolaiMaxime,2626,33496221,French Polynesia,350,912,512,84,316,FM,2908,2904,Nicolai Maxime,Østensen,2196,2017-02-25,Moški,Oceania,3.5778175313059034e-06,2017
69,grandmastergauri,2624,2295334,United States,2,211,178,11,22,FM,2826,2925,Gauri,Shankar,56564,2009-11-12,Ženska,North America,2.9402166800915e-09,2009
70,SergeiRK,2623,61859088,Russia,116,2594,1678,255,661,Nima naslova,2552,2466,,,1360,2019-06-03,Ni znano,Asia,6.847986512205766e-09,2019
71,vizafogo,2621,9916826,Hungary,67,591,413,58,120,IM,2613,2337,Róbert,Torma,19951,2012-12-06,Moški,Europe,1.0482727505062633e-07,2012
72,Chess_Monster2008,2620,315331077,Azerbaijan,156,40,31,4,5,Nima naslova,2825,2760,,,954,2023-09-25,Ni znano,Asia,9.769224539471428e-08,2023
73,andreystukopin,2620,28000608,United States,2,70,42,10,18,GM,2687,2616,Andrey,Stukopin,9395,2016-05-01,Moški,North America,2.9402166800915e-09,2016
74,NoHeThTo,2620,22442156,United States,2,811,458,76,277,NM,2799,2868,Noah,Thomforde-Toates,5897,2015-05-18,Moški,North America,2.9402166800915e-09,2015
75,deniss_dunaveckis,2619,99596842,Latvia,85,320,191,32,97,Nima naslova,2772,2588,Deniss,Dunaveckis,3022,2020-11-26,Moški,Europe,5.463286713286713e-07,2020
76,DanielNaroditsky,2614,1715324,United States,2,260,123,72,65,GM,3045,3180,Daniel,Naroditsky,1817831,2009-01-16,Moški,North America,2.9402166800915e-09,2009
77,Chess_Caio2007,2610,82517146,Brazil,27,962,570,90,302,NM,2810,2646,Caio,Angelico,7749,2020-06-13,Moški,South America,4.7040284123316105e-09,2020
78,Sanan_Sjugirov,2610,19832534,Hungary,67,261,103,71,87,GM,3115,3017,Sanan,Sjugirov,31628,2014-11-21,Ni znano,Europe,1.0482727505062633e-07,2014
79,BLITZMASTER,2609,4651361,United States,2,124,92,10,22,FM,2647,2754,Robby,Adamson,70811,2011-02-02,Moški,North America,2.9402166800915e-09,2011
80,enjoychess_youtube,2609,308989595,Iran,71,171,104,21,46,Nima naslova,2628,2534,,,7301,2023-08-29,Ni znano,Asia,1.1633182489733717e-08,2023
81,artooon,2606,55724226,International,225,119,63,25,31,GM,3114,3105,Pranesh,M,36447,2019-01-09,Ni znano,Ni podatka,Ni znano,2019
82,Fighter008,2605,8467080,India,69,38,32,1,5,IM,2746,2615,Nitin,Senthilvel,3027,2012-08-07,Ni znano,Asia,7.054713536302145e-10,2012
83,deathkni_g_ht,2605,76893270,Canada,3,231,165,17,49,IM,2584,2651,Eric,Lawson,2301,2020-04-16,Moški,North America,2.4068091325987446e-08,2020
84,abhyak,2604,32069494,India,69,49,30,5,14,GM,2409,1800,Abhijeet,Kunte,1619,2017-01-01,Ni znano,Asia,7.054713536302145e-10,2017
85,gammagramma,2604,21219736,Russia,116,204,150,23,31,IM,2734,2701,Vasily,Usmanov,4156,2015-02-22,Moški,Asia,6.847986512205766e-09,2015
86,liczner,2603,19289962,Poland,112,135,86,26,23,IM,2926,2899,Łukasz,Licznerski,42346,2014-10-13,Moški,Europe,2.6729391639046296e-08,2014
87,Fins0905,2603,1761842,United States,2,257,206,20,31,IM,2823,2709,John,Bartholomew,304123,2009-02-11,Moški,North America,2.9402166800915e-09,2009
88,kontosnik1,2602,281451383,Greece,56,60,44,3,13,Nima naslova,2740,2898,Νik,kontos,3342,2023-05-02,Ni znano,Europe,9.614718980993623e-08,2023
89,Vincent_Vega95,2602,26910768,Serbia,231,205,140,17,48,IM,2794,2649,Marko,Nenezic,7508,2016-02-24,Moški,Europe,1.5225838003478496e-07,2016
90,Soloctavian,2601,6578983,Norway,104,1068,514,97,457,FM,2703,2608,Stein,Aarland,9185,2012-01-29,Moški,Europe,1.7835027423138165e-07,2012
91,BisonBeijing,2601,39938310,United States,2,325,217,30,78,Nima naslova,2640,2650,,,1022,2017-10-31,Ni znano,North America,2.9402166800915e-09,2017
92,GeneralZod,2601,37797294,United States,2,3037,1742,235,1060,Nima naslova,2565,2701,General,Of Krypton,28163,2017-08-13,Moški,North America,2.9402166800915e-09,2017
93,Ol3ks2,2601,257060207,Ukraine,141,400,266,42,92,IM,2537,Ne igra metka,Oleksii,Molchanov,894,2023-03-05,Moški,Europe,3.0430284218854606e-08,2023
94,GMKrikor,2601,1355607,Brazil,27,692,459,78,155,GM,2812,2709,Krikor Sevag,Mekhitarian,311971,2008-04-11,Ni znano,South America,4.7040284123316105e-09,2008
95,selvas123,2600,38345310,Slovakia,126,131,93,6,32,IM,2904,2864,Sebastian,Kostolansky,2184,2017-09-03,Moški,Europe,1.8463885931589825e-07,2017
96,F3Kpf2,2600,314331947,Uzbekistan,145,52,32,5,15,Nima naslova,2738,2806,Abdulaziz,Kurbanov,1021,2023-09-21,Ni znano,Asia,2.6412420704960713e-08,2023
97,szachusplTwitch,2600,173812973,Poland,112,1286,1077,42,167,Nima naslova,2603,1656,Authorized Speed Run account of,szachuspl,5272,2022-02-19,Ni znano,Europe,2.6729391639046296e-08,2022
98,Agibileg,2599,10729592,Mongolia,157,318,188,37,93,IM,2846,2625,Uurtsaikh,Agibileg,4842,2013-02-07,Ni znano,Asia,2.821005773188315e-07,2013
99,Yachen_03,2598,51248978,Isle of Man,74,320,196,81,43,Nima naslova,2733,2692,,,1564,2018-10-28,Ni znano,Europe,1.183011948420679e-05,2018
100,FGHSMN,2595,15872054,India,69,234,104,46,84,GM,3005,2770,Bharath Subramaniyam.H,Harishankkar,14185,2014-02-02,Ni znano,Asia,7.054713536302145e-10,2014
101,Beca95,2594,17624806,Serbia,231,172,82,30,60,GM,2999,2886,Aleksandar,Indjic,59122,2014-06-09,Moški,Europe,1.5225838003478496e-07,2014
102,elefante33,2593,11511066,Brazil,27,24,12,7,5,GM,2728,2633,Felipe,El Debs,16046,2013-04-13,Moški,South America,4.7040284123316105e-09,2013
103,RoChAnFoRhAD1987,2592,300683073,New Zealand,102,208,119,31,58,Nima naslova,2701,2601,rochan,,518,2023-07-18,Ni znano,Oceania,1.8780400773752512e-07,2023
104,Volodar_Murzin,2591,39249762,International,225,127,62,34,31,GM,3092,2968,Volodar,Murzin,17023,2017-10-07,Ni znano,Ni podatka,Ni znano,2017
105,mondeliux,2589,196947975,United States,2,603,304,160,139,Nima naslova,2509,Ne igra metka,Andrew,,171,2022-09-12,Moški,North America,2.9402166800915e-09,2022
106,GMMelik,2589,1875827,United States,2,249,129,43,77,GM,2652,2501,Melikset,Khachiyan,247037,2009-04-16,Ni znano,North America,2.9402166800915e-09,2009
107,BirdMaster3000,2584,32324700,Brazil,27,235,164,12,59,GM,2864,2211,Raven,Sturt,10361,2017-01-11,Ženska,South America,4.7040284123316105e-09,2017
108,DanyKopy,2580,38461296,Germany,54,319,237,36,46,IM,2706,2604,Daniel,Kopylov,943,2017-09-07,Moški,Europe,1.1964994255606259e-08,2017
109,Oleg_Konnov,2579,47891486,Russia,116,131,92,11,28,Nima naslova,2760,2700,,,529,2018-07-15,Ni znano,Asia,6.847986512205766e-09,2018
110,fin,2579,21574340,United Kingdom,164,2144,1151,113,880,NM,2806,2712,Finlay,Bowcott-Terry,16244,2015-03-18,Moški,Europe,1.4648750288012741e-08,2015
111,Evandro_Barbosa,2578,48066110,Brazil,27,111,98,6,7,GM,2808,2588,Evandro Amorim,Barbosa,28859,2018-07-21,Moški,South America,4.7040284123316105e-09,2018
112,Chessmatenokk17,2577,55969800,Russia,116,309,181,26,102,FM,2841,2726,Sergey And.,Korshunov,1863,2019-01-14,Moški,Asia,6.847986512205766e-09,2019
113,Mudinoss,2576,408526599,Poland,112,86,57,11,18,FM,2900,2706,Cyprian,Mulawa,443,2024-12-11,Moški,Europe,2.6729391639046296e-08,2024
114,jonathanwesterberg,2576,1036211,Sweden,132,403,296,33,74,GM,2666,2779,Jonathan,Westerberg,6791,2008-01-27,Moški,Europe,9.440476192723924e-08,2008
115,joshuagarry,2574,28476272,China,33,180,74,20,86,Nima naslova,2450,2644,景天,吴,3234,2016-06-03,Ni znano,Asia,7.100860624307666e-10,2016
116,Vision_64,2572,71910596,Malaysia,92,488,317,31,140,WCM,2314,2006,Sivanesan,Nithyalakshmi,2108,2020-02-08,Moški,Asia,2.9212688823517382e-08,2020
117,Riley,2572,69197334,United States,2,176,106,23,47,Nima naslova,2900,3102,Ebanine,,50294,2019-12-11,Ni znano,North America,2.9402166800915e-09,2019
118,Mikhail_Z_2011,2572,67308634,International,225,1972,946,279,747,Nima naslova,2372,Ne igra metka,,,493,2019-10-30,Ni znano,Ni podatka,Ni znano,2019
119,N_Mullodzhanov,2568,28134940,United States,2,353,202,34,117,NM,2849,2789,Nathaniel,Mullodzhanov,3045,2016-05-10,Moški,North America,2.9402166800915e-09,2016
120,ItachiUchiha999,2567,76651388,India,69,87,76,3,8,GM,2793,2766,Lalit Babu,MR,2321,2020-04-13,Moški,Asia,7.054713536302145e-10,2020
121,NigelDwarf,2566,296862267,United States,2,245,162,16,67,NM,2758,2676,Alan,Morris-Suzuki,4932,2023-06-29,Moški,North America,2.9402166800915e-09,2023
122,IamSchrodingersCat,2566,25380256,United States,2,138,111,11,16,NM,2715,2725,Paul,Richter,7206,2015-12-02,Moški,North America,2.9402166800915e-09,2015
123,electrosaw,2566,241412007,United States,2,1788,1102,255,431,CM,2632,2704,Tyson,Brady,8261,2023-02-07,Moški,North America,2.9402166800915e-09,2023
124,Ratatal,2565,290754765,Brazil,27,1074,556,96,422,Nima naslova,2754,2608,,,1250,2023-06-03,Ni znano,South America,4.7040284123316105e-09,2023
125,Semper-Vincit-5,2564,468726512,Ukraine,141,215,154,18,43,Nima naslova,2653,Ne igra metka,,,52,2025-07-23,Ni znano,Europe,3.0430284218854606e-08,2025
126,Arash_Tahbaz,2564,32232456,Iran,71,60,40,10,10,IM,2924,2957,Arash,Tahbaz,21278,2017-01-08,Moški,Asia,1.1633182489733717e-08,2017
127,lychess666,2564,20040860,China,33,75,69,4,2,IM,2709,2704,Yi,Lin,1942,2014-12-05,Ni znano,Asia,7.100860624307666e-10,2014
128,Joe-ice-cold,2562,16050694,Germany,54,1331,898,133,300,Nima naslova,2499,Ne igra metka,,,2604,2014-02-14,Ni znano,Europe,1.1964994255606259e-08,2014
129,last8pawns,2560,41154402,United States,2,5344,3071,499,1774,Nima naslova,2783,2746,,,2594,2017-12-08,Ni znano,North America,2.9402166800915e-09,2017
130,Guliev_Gasan,2559,33962018,Azerbaijan,156,29,26,1,2,CM,2528,2154,Gasan,Guliev,1482,2017-03-14,Moški,Asia,9.769224539471428e-08,2017
131,Mr_black_forest,2559,304100533,Germany,54,357,273,35,49,Nima naslova,2558,Ne igra metka,,,191,2023-08-05,Ni znano,Europe,1.1964994255606259e-08,2023
132,g3god,2558,62925986,India,69,100,39,31,30,GM,2931,2798,Sasikiran,Krishnan,12445,2019-07-03,Ni znano,Asia,7.054713536302145e-10,2019
133,TheEqualizer,2558,5207703,Sweden,132,251,190,20,41,FM,2524,2505,Anders,Backlund,6066,2011-05-31,Moški,Europe,9.440476192723924e-08,2011
134,super_emi_26,2557,357833519,Georgia,53,60,35,13,12,IM,2974,2962,Nikoloz,Petriashvili,3800,2024-04-17,Moški,Asia,2.699419624780672e-07,2024
135,sudhanshurchess,2557,13607126,India,69,3798,2030,290,1478,Nima naslova,2670,2654,Sudhanshu,Ranjan,7384,2013-09-20,Ni znano,Asia,7.054713536302145e-10,2013
136,I-Mesquita,2556,61118496,Brazil,27,83,38,40,5,NM,2762,2834,Ivan,Mesquita V. Gonçalves,11318,2019-05-17,Moški,South America,4.7040284123316105e-09,2019
137,FoxOnTheRun97,2555,188604399,Czech Republic,40,3310,2425,314,571,FM,2714,2645,Ondrej,Toman,10104,2022-06-30,Moški,Europe,9.19381715796127e-08,2022
138,SHADYASHHRAF0,2554,472414304,Egypt,45,187,144,15,28,Nima naslova,2593,2480,,,67,2025-08-06,Ni znano,Africa,9.322161406512797e-09,2025
139,TacticalJesus,2554,14592258,United States,2,254,176,25,53,NM,2700,2705,Jason,Garfield,19883,2013-11-22,Moški,North America,2.9402166800915e-09,2013
140,King_Rudy5,2553,328375241,Russia,116,453,234,63,156,Nima naslova,2622,2382,,,412,2023-11-25,Ni znano,Asia,6.847986512205766e-09,2023
141,Alamat_ng_tahong,2553,118818324,Philippines,111,2055,981,281,793,Nima naslova,2524,2139,nobody,,1291,2021-02-05,Ni znano,Asia,8.762429506254623e-09,2021
142,tilt,2552,200157001,Sweden,132,365,206,39,120,Nima naslova,2583,2660,,,4378,2022-10-04,Ni znano,Europe,9.440476192723924e-08,2022
143,esper-control,2552,154314279,Iceland,68,878,339,118,421,Nima naslova,2556,2419,,,723,2021-09-11,Ni znano,Europe,2.5522574717337483e-06,2021
144,RobertFontaine,2551,11744458,Switzerland,133,48,25,12,11,GM,2741,2639,Robert,Fontaine,33136,2013-05-03,Moški,Europe,1.1028831129184669e-07,2013
145,maddeningwaste,2550,307269771,Spain,163,288,196,24,68,Nima naslova,2617,2636,878768,878768,418,2023-08-21,Ni znano,Europe,2.0277415730152532e-08,2023
146,The_Swedish_Mafia,2549,78627840,Sweden,132,464,264,39,161,Nima naslova,2805,2732,,,1172,2020-05-05,Ni znano,Europe,9.440476192723924e-08,2020
147,KarstenHansch,2549,58608990,Germany,54,148,103,19,26,FM,2606,2574,Karsten,Hansch,954,2019-03-16,Moški,Europe,1.1964994255606259e-08,2019
148,Szparu,2548,49308476,Poland,112,643,414,72,157,GM,2905,2976,Miłosz,Szpar,36706,2018-08-31,Moški,Europe,2.6729391639046296e-08,2018
149,2012Beast,2546,51528312,China,33,650,393,53,204,Nima naslova,2420,1200,,,1478,2018-11-06,Ni znano,Asia,7.100860624307666e-10,2018
150,Fischer_Of_Rivia,2546,435360875,Serbia,231,123,74,23,26,IM,2745,2706,Milos,Popovic,501,2025-03-08,Ni znano,Europe,1.5225838003478496e-07,2025
151,Milchone1,2546,16656734,United Kingdom,164,374,316,28,30,IM,2606,2501,Nikolay,Milchev,14620,2014-03-28,Moški,Europe,1.4648750288012741e-08,2014
152,ChaiKGM,2545,468987912,France,52,257,154,21,82,Nima naslova,1600,1600,,,36,2025-07-24,Ni znano,Europe,1.4562824022834507e-08,2025
153,obliviate12,2544,59725590,India,69,106,43,17,46,GM,2697,2655,Vaibhav,Suri,3657,2019-04-12,Ni znano,Asia,7.054713536302145e-10,2019
154,binhminh2000,2542,62569354,Vietnam,149,130,74,22,34,FM,2763,2566,LE,MINh Hoang,4629,2019-06-22,Ni znano,Asia,9.867401853887461e-09,2019
155,71Shaker,2542,39667572,United States,2,888,527,76,285,Nima naslova,2539,2708,,,927,2017-10-22,Ni znano,North America,2.9402166800915e-09,2017
156,nocturneop,2542,145158319,Monaco,97,187,140,8,39,Nima naslova,2557,2495,,,118,2021-06-19,Ni znano,Europe,2.6026078130286547e-05,2021
157,midlasker,2541,52722114,France,52,2111,1128,195,788,Nima naslova,2456,Ne igra metka,,,998,2018-12-03,Ni znano,Europe,1.4562824022834507e-08,2018
158,frexit-EU,2541,361313801,France,52,1369,790,144,435,Nima naslova,2569,Ne igra metka,,,488,2024-05-05,Ni znano,Europe,1.4562824022834507e-08,2024
159,AsadliVugar,2540,58142156,Azerbaijan,156,137,59,38,40,GM,2990,2888,Vugar,Asadli,9298,2019-03-05,Moški,Asia,9.769224539471428e-08,2019
160,thickgreenphlegm,2540,275333091,Australia,17,518,342,44,132,Nima naslova,2604,2527,,,403,2023-04-14,Ni znano,Oceania,3.649633304918505e-08,2023
161,LoyalClone,2539,37211406,Canada,3,233,171,44,18,NM,2380,2360,,,1162,2017-07-21,Ni znano,North America,2.4068091325987446e-08,2017
162,LlambiPasku,2539,21495774,Albania,10,401,227,37,137,IM,2903,2717,Llambi,Pasko,4157,2015-03-13,Moški,Europe,4.231346321309822e-07,2015
163,tigerpower671,2538,55654780,United Kingdom,164,33,25,4,4,Nima naslova,2756,2396,,,174,2019-01-07,Ni znano,Europe,1.4648750288012741e-08,2019
164,jambuli77,2538,379996663,Georgia,53,467,258,61,148,Nima naslova,2701,2575,ნაზი,თებიძე,850,2024-08-09,Ni znano,Asia,2.699419624780672e-07,2024
165,SP_Instructor,2538,185450859,Croatia,36,354,225,22,107,Nima naslova,2424,2336,Goran,Radic,471,2022-05-31,Moški,Europe,2.5908843361869336e-07,2022
