Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1196,Mayo_Neighs,2405,67774054,United States,2,1448,1112,57,279,NM,2470,2653,Braeden,Hart,12473,2019-11-09,Moški,North America,2.9402166800915e-09,2019
1197,Coolesz,2405,63473962,Poland,112,41,29,3,9,Nima naslova,2306,2478,,,158,2019-07-20,Ni znano,Europe,2.6729391639046296e-08,2019
1198,NicyFlash777,2405,60744194,France,52,2153,1104,166,883,Nima naslova,2558,2730,Matthieu,Saint-Guily,1425,2019-05-08,Moški,Europe,1.4562824022834507e-08,2019
1199,Siziku,2405,55414332,New Zealand,102,29,13,5,11,Nima naslova,2820,2765,,,512,2019-01-01,Ni znano,Oceania,1.8780400773752512e-07,2019
1200,catatadoabr,2405,47156102,International,225,467,232,24,211,Nima naslova,2654,2427,,,686,2018-06-16,Ni znano,Ni podatka,Ni znano,2018
1201,rolyku,2405,4688004,Colombia,34,274,181,22,71,FM,2401,2427,Juan Rolando,Montenegro Mancera,860,2011-02-09,Moški,South America,1.897678971621957e-08,2011
1202,Silmarillion2024,2405,41512722,Ukraine,141,2450,1166,192,1092,Nima naslova,2315,1376,,,1513,2017-12-20,Ni znano,Europe,3.0430284218854606e-08,2017
1203,Karel3,2405,41417832,Czech Republic,40,255,154,28,73,Nima naslova,2200,Ne igra metka,,,53,2017-12-17,Ni znano,Europe,9.19381715796127e-08,2017
1204,Optimistic-player,2405,40924940,China,33,308,194,59,55,Nima naslova,2688,2586,,,1143,2017-12-01,Ni znano,Asia,7.100860624307666e-10,2017
1205,DuneDrive,2405,344176661,United States,2,264,174,15,75,Nima naslova,2199,Ne igra metka,,,46,2024-02-08,Ni znano,North America,2.9402166800915e-09,2024
1206,Alexey_Krupko,2405,330150933,International,225,826,562,76,188,FM,2404,2088,Alexey,Krupko,232,2023-12-03,Moški,Ni podatka,Ni znano,2023
1207,punter99,2405,31197812,Germany,54,1151,589,210,352,Nima naslova,2421,2432,,,8856,2016-11-27,Ni znano,Europe,1.1964994255606259e-08,2016
1208,Alemao1076,2405,29868016,Russia,116,130,94,10,26,Nima naslova,2303,2307,,,1352,2016-09-10,Ni znano,Asia,6.847986512205766e-09,2016
1209,demaiofrancesco,2405,27751662,United Kingdom,164,297,189,12,96,Nima naslova,915,512,Francesco,De Maio,31,2016-04-14,Moški,Europe,1.4648750288012741e-08,2016
1210,grrenman,2405,27436918,International,225,615,351,49,215,Nima naslova,2207,2011,Igor,,561,2016-03-26,Moški,Ni podatka,Ni znano,2016
1211,nepoliboyy,2405,26801224,Nepal,100,47,33,2,12,Nima naslova,2231,1864,Sumit,Panta,1813,2016-02-18,Moški,Asia,3.343157759602886e-08,2016
1212,Yuta87,2405,24095170,Czech Republic,40,379,242,36,101,Nima naslova,2671,2835,Eshwant,Singh,6615,2015-09-13,Ni znano,Europe,9.19381715796127e-08,2015
